top - 20:00:01 up 7 days,  4:55,  3 users,  load average: 0.00, 0.03, 0.08
Tasks: 157 total,   1 running, 156 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  2.3 sy,  0.0 ni, 97.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   7937.7 total,   3461.6 free,    572.8 used,   4209.2 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   7364.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
2525106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
2525107 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
2525180 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
2525183 root      20   0       0      0      0 I   0.0   0.0   0:00.64 kworker+
2525184 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
2525185 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
2525190 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
2525191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
2525192 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
2525194 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
2525196 root      20   0    7808   2816   2560 S   0.0   0.0   0:00.00 cron
2525197 root      20   0    2380   1408   1408 S   0.0   0.0   0:00.00 sh
2525198 root      20   0    4460   2816   2688 S   0.0   0.0   0:00.00 automat+
2525203 root      20   0    2704   1536   1536 S   0.0   0.0   0:00.00 timeout

top - 21:00:01 up 7 days,  5:55,  3 users,  load average: 0.00, 0.00, 0.00
Tasks: 156 total,   1 running, 155 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.1 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   7937.7 total,   3464.6 free,    569.9 used,   4209.1 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   7367.8 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
2525233 root      20   0       0      0      0 I   0.1   0.0   0:04.34 kworker+
2525278 root      20   0       0      0      0 I   0.0   0.0   0:01.33 kworker+
    243 root      20   0       0      0      0 S   0.0   0.0   0:31.30 jbd2/mm+
   6386 root      20   0 1991520  31792  20224 S   0.0   0.4   0:20.69 snapd
  20873 avahi     20   0    8648   3712   3328 S   0.0   0.0   0:17.03 avahi-d+
2524604 root      20   0       0      0      0 I   0.0   0.0   0:00.15 kworker+
      1 root      20   0   23456  14208   8960 S   0.0   0.2   0:29.29 systemd
     75 root       0 -20       0      0      0 I   0.0   0.0   2:32.66 kworker+
  20931 root      19  -1   50220  14848  13824 S   0.0   0.2   0:06.56 systemd+
2525223 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
  71118 root      20   0  572832  38336  32476 S   0.0   0.5   0:08.53 fwupd
2525276 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
2525288 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
     44 root      20   0       0      0      0 S   0.0   0.0   0:22.15 kcompac+
    478 root      20   0       0      0      0 S   0.0   0.0   0:24.88 brcmf_w+
    840 message+  20   0   10104   4480   3584 S   0.0   0.1   0:05.15 dbus-da+
2522825 u         20   0   16560   6452   4608 S   0.0   0.1   0:00.31 sshd
     17 root      20   0       0      0      0 I   0.0   0.0   4:06.22 rcu_pre+
     31 root      rt   0       0      0      0 S   0.0   0.0   0:01.03 migrati+
    106 root       0 -20       0      0      0 I   0.0   0.0   0:05.69 kworker+
    851 root      20   0   17924   7680   6784 S   0.0   0.1   0:01.96 systemd+
